drug_chembl_id,drug_name,protein_id,protein_name,similarity
CHEMBL3137320,TALAZOPARIB,CHEMBL2429709,Protein mono-ADP-ribosyltransferase PARP12,0.6001407
CHEMBL3137320,TALAZOPARIB,CHEMBL2429708,Protein mono-ADP-ribosyltransferase PARP10,0.5721854
CHEMBL1909072,PIPAMAZINE,CHEMBL1821,Muscarinic acetylcholine receptor M4,0.5399119
CHEMBL419,MAFENIDE,CHEMBL3912,Carbonic anhydrase 13,0.5392196
CHEMBL633,AMIODARONE,CHEMBL3371,5-hydroxytryptamine receptor 6,0.530897
CHEMBL11,IMIPRAMINE,CHEMBL223,Alpha-1D adrenergic receptor,0.5215963
CHEMBL17860,LOFEXIDINE,CHEMBL223,Alpha-1D adrenergic receptor,0.51608485
CHEMBL1421,DASATINIB ANHYDROUS,CHEMBL2250,Tyrosine-protein kinase Blk,0.512127
CHEMBL750,ZONISAMIDE,CHEMBL3510,Carbonic anhydrase 14,0.5120319
CHEMBL1567,SUNITINIB MALATE,CHEMBL2007,Platelet-derived growth factor receptor alpha,0.5054646
CHEMBL1173055,RUCAPARIB,CHEMBL2429709,Protein mono-ADP-ribosyltransferase PARP12,0.5037701
CHEMBL5315125,DUVELISIB MONOHYDRATE,CHEMBL3267,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",0.5015378
CHEMBL1963681,AVANAFIL,CHEMBL3977,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'",0.4979903
CHEMBL1621,PALIPERIDONE,CHEMBL3371,5-hydroxytryptamine receptor 6,0.49721804
CHEMBL762,OXYMETAZOLINE,CHEMBL217,D(2) dopamine receptor,0.4957183
CHEMBL1078178,MOMELOTINIB,CHEMBL5970,Mitogen-activated protein kinase kinase kinase 3,0.49483612
CHEMBL3301610,ABEMACICLIB,CHEMBL3529,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,0.49270734
CHEMBL3233142,LUMATEPERONE TOSYLATE,CHEMBL1899,5-hydroxytryptamine receptor 3A,0.49170905
CHEMBL3301607,FILGOTINIB,CHEMBL1913,Platelet-derived growth factor receptor beta,0.48964554
CHEMBL11,IMIPRAMINE,CHEMBL287,Sigma non-opioid intracellular receptor 1,0.48921353
CHEMBL1535,HYDROXYCHLOROQUINE,CHEMBL245,Muscarinic acetylcholine receptor M3,0.48900294
CHEMBL27,PROPRANOLOL,CHEMBL234,D(3) dopamine receptor,0.4874745
CHEMBL4164059,PITOLISANT HYDROCHLORIDE,CHEMBL3371,5-hydroxytryptamine receptor 6,0.48707014
CHEMBL669,CYCLOBENZAPRINE,CHEMBL1821,Muscarinic acetylcholine receptor M4,0.48594135
CHEMBL978,METHACHOLINE,CHEMBL2035,Muscarinic acetylcholine receptor M5,0.48447487
CHEMBL487253,BENDAMUSTINE,CHEMBL3310,Histone deacetylase 11,0.48373866
CHEMBL86,METOCLOPRAMIDE,CHEMBL287,Sigma non-opioid intracellular receptor 1,0.48338604
CHEMBL644,TRIMIPRAMINE,CHEMBL223,Alpha-1D adrenergic receptor,0.48287874
CHEMBL808,ECONAZOLE,CHEMBL2035,Muscarinic acetylcholine receptor M5,0.4823854
CHEMBL621,TRAZODONE,CHEMBL2056,D(1A) dopamine receptor,0.4819331
CHEMBL1078178,MOMELOTINIB,CHEMBL3981,Serine/threonine-protein kinase 10,0.48185122
CHEMBL726,FLUPHENAZINE,CHEMBL2035,Muscarinic acetylcholine receptor M5,0.48140538
CHEMBL1421,DASATINIB ANHYDROUS,CHEMBL2007,Platelet-derived growth factor receptor alpha,0.48100707
CHEMBL1123,DICYCLOMINE,CHEMBL222,Sodium-dependent noradrenaline transporter,0.4806236
CHEMBL1834657,INFIGRATINIB PHOSPHATE,CHEMBL4722,Aurora kinase A,0.47917944
CHEMBL1852688,INFIGRATINIB,CHEMBL5627,Leukocyte tyrosine kinase receptor,0.47882342
CHEMBL671,THIOTEPA,CHEMBL1821,Muscarinic acetylcholine receptor M4,0.47861254
CHEMBL24778,SILODOSIN,CHEMBL2056,D(1A) dopamine receptor,0.47838083
CHEMBL3348923,TOVORAFENIB,CHEMBL2637,Mitogen-activated protein kinase 10,0.47791788
CHEMBL81,RALOXIFENE,CHEMBL2035,Muscarinic acetylcholine receptor M5,0.47773397
CHEMBL3301622,GILTERITINIB,CHEMBL3357,Interleukin-1 receptor-associated kinase 1,0.47708613
CHEMBL1714574,TERCONAZOLE,CHEMBL231,Histamine H1 receptor,0.47602153
CHEMBL644,TRIMIPRAMINE,CHEMBL1821,Muscarinic acetylcholine receptor M4,0.47474152
CHEMBL1628227,DOXEPIN,CHEMBL233,Mu-type opioid receptor,0.47406977
CHEMBL1633,KETOTIFEN FUMARATE,CHEMBL287,Sigma non-opioid intracellular receptor 1,0.47347492
CHEMBL2035187,PACRITINIB,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,0.47341335
CHEMBL255863,NILOTINIB,CHEMBL3981,Serine/threonine-protein kinase 10,0.4726472
CHEMBL1614701,SELUMETINIB,CHEMBL3938,Serine/threonine-protein kinase 16,0.47264248
CHEMBL3545110,RIBOCICLIB,CHEMBL5261,Serine/threonine-protein kinase TAO1,0.47261065
CHEMBL17860,LOFEXIDINE,CHEMBL2056,D(1A) dopamine receptor,0.47247177
